restaurant,item,calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein
KFC,Hot Wings 4 Pc,534.3,33.4,13.3,0.08,46,0.7,34.2,18,0,24.2
Pizza Hut,Veggie Feast (Medium),532.89,13.75,5.39,0.17,28.67,1135.38,79.1,5.53,0,23.18
Pizza Hut,Spiced Paneer (Medium),532.754,19.02,10.48,0.45,48.79,812.66,62.08,9.04,0,28.31
Pizza Hut,Tandoori Paneer (Personal),532.08,17.25,6.67,0.22,21.67,960.93,76.38,7.07,0,17.82
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,22,4,0,45,1000,59,3,13,25
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,20,7,0,125,1150,48,3,11,42
Mcdonalds,Quarter Pounder® with Cheese,530,27,13,1.5,100,1090,41,3,10,31
Burger King,Big Fish Sandwich,530,27,4.5,0,30,1360,54,2,7,17
Burger King,Chicken Caesar Salad w/ Grilled Chicken,530,32,5,0,95,1640,26,3,6,35
Burger King,Spicy Chicken Nuggets,530,37,7,0,55,1420,28,,0,20
KFC,2 pc,529.4,33.2,13.1,0.07,47,0.4,25.8,19,0,31.9
Pizza Hut,Farmer`s Pick (Medium),528.07,16.21,6.34,0.18,62.22,1219.61,69.78,3.18,0,25.76
Pizza Hut,Tandoori Onion (Medium),523.36,17.19,5.77,0.16,30.46,1054.24,72.91,1.69,0,19.24
Pizza Hut,Veg Kebab Surprise (Personal),520.4,18.83,6.81,0.18,23.03,1158.85,63.12,5.56,0,24.62
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,18,6,0,115,1540,50,4,12,40
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520,25,6,0,75,960,46,8,9,28
Burger King,Double Bacon Cheeseburger,520,31,14,1,105,1180,33,1,8,31
Arbys,Roast Turkey & Swiss Wrap,520,27,9,0,65,1640,39,4,6,30
Dairy Queen,Crispy Chicken BLT Salad,520,31,10,0,100,1470,25,9,6,37
Taco Bell,Steak Quesadilla,520,28,12,1,65,1250,41,4,3,25
Taco Bell,Chicken Quesadilla,520,28,12,1,75,1210,41,4,3,27
Pizza Hut,Chicken Tikka (Medium),516.89,19.63,8.77,0.29,30.81,865.24,62.04,8.59,0,23.01
Pizza Hut,Momo Mia Chicken (Personal),516.63,18.93,7.93,0.3,24.1,845.84,64.02,9.03,4.62,22.56
KFC,Veg Biryani,512.4,19.3,7.7,0,30,1.2,74.5,12,0,9.7
Pizza Hut,Momo Mia Veg (Personal),510.19,18.87,8.23,0.33,19.86,747.15,65.21,9.34,5.18,19.88
Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),510,38,12,1,100,1040,14,4,7,30
Mcdonalds,Classic Chicken Sandwich,510,24,4,0,65,1040,49,3,6,25
Arbys,Double Roast Beef,510,24,9,1.5,95,1610,38,2,5,38
Taco Bell,7-Layer Burrito,510,19,7,0,20,1090,68,11,4,16
KFC,"Smoky Chicken
Biryani",509.5,18.4,6.5,0,20,1.4,64,8,0,22.4
Pizza Hut,Double Paneer Supreme (Medium),507.01,21.72,11.39,0.36,22.39,1171.89,55.45,4.03,0,22.44
Pizza Hut,Spiced Chicken Meatball (Medium),505.95,18.08,8.81,0.3,63.86,963.78,59.1,8.51,0,26.71
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500,18,0,0,95,1200,46,2,10,33
Subway,"6"" Big Philly Cheesesteak",500,17,9,1,85,1310,51,6,8,38
Sonic,Cheesy Bacon Pretzel Dog - 6 In.,500,26,10,0,50,1410,46,2,7,15
Chick Fil-A,Chicken Deluxe,500,23,7,0,75,1590,42,3,6,31
Dairy Queen,Chicken Bacon Ranch Sandwich,500,20,8,0,65,1190,45,3,3,33
Starbucks,"Sausage, Egg & Cheddar Classic Breakfast Sandwich",500,28,9,0.2,165,920,41,1,3,15
Pizza Hut,Chicken Pepper Crunch (Medium),492.59,19.87,8.27,0.27,21.85,967.27,54.95,6.1,0,23.48
Pizza Hut,Chicken Tikka Supreme (Medium),490.49,18.24,7.37,0.24,27.54,1442.59,57.03,4.26,0,24.47
Chick Fil-A,Chicken Salad Sandwich,490,19,3,0,80,1130,55,5,12,28
Subway,"6"" Turkey Italiano Melt (with Provolone)",490,24,9,1,50,1480,47,5,8,24
Starbucks,Double Smoked Bacon,490,27,13,0.1,215,910,40,1,7,17
Taco Bell,Cheesy Gordita Crunch,490,29,10,1,55,810,39,5,6,20
Taco Bell,Doritos® Cheesy Gordita Crunch - Cool Ranch,490,28,10,1,55,890,40,5,5,20
Taco Bell,Doritos® Cheesy Gordita Crunch - Nacho Cheese,490,28,10,1,55,880,40,5,5,20
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,28,8,0,95,1120,28,4,4,33
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,28,8,0,95,1120,28,4,4,33
Taco Bell,Doritos® Cheesy Gordita Crunch - Fiery,490,28,10,1,55,890,40,5,4,20
Pizza Hut,Veggie Lover (Medium),486.61,15.69,6.2,0.23,15.86,714.79,66.33,3.98,0,20.01
Pizza Hut,Chicken Supreme (Medium),485.2,19.23,7.62,0.2,34.42,1647.75,52.18,5.15,0,25.86
Pizza Hut,Italian Chicken Feast (Medium),485.05,19.06,7.44,0.18,63.68,1048.32,55.98,6.19,0,22.4
Pizza Hut,Country Feast (Medium),481.67,11,4.24,0.12,5.11,915.42,74.63,7.23,0,21.03
Pizza Hut,Veggie Tandoori (Medium),480.3,18.03,7.68,0.29,20.68,904.85,63.17,2.74,0,16.35
Subway,"6"" Meatball Marinara",480,18,7,1,30,950,59,8,12,21
Mcdonalds,McRib,480,22,7,0,80,870,45,2,12,25
Burger King,Chicken Burger,480,25,2.5,0,5,1160,42,2,10,22
Arbys,Grand Turkey Club,480,24,7,0,65,1610,37,2,9,30
Subway,"6"" Spicy Italian",480,24,9,1,50,1520,46,5,8,20
Taco Bell,Cheese Quesadilla,480,27,11,1,50,1000,40,4,3,19
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,28,4.5,0,95,1290,21,0,1,38
Pizza Hut,Tandoori Paneer (Personal),477.47,15.99,8.08,0.31,15.18,894.46,66.75,5.77,0,16.64
Pizza Hut,Double Paneer Supreme (Personal),474.03,20.26,9.25,0.33,71.72,1128.11,52.86,3.79,0,20.07
Pizza Hut,Malai Chicken Tikka (Medium),473.47,16.12,7.05,0.26,19.87,1344.6,59.17,3.92,0,22.93
Pizza Hut,Veggie Supreme (Medium),473.08,16.49,7.17,0.26,19.6,680.41,60.49,4.61,0,20.67
Pizza Hut,Veg Kebab Surprise (Personal),472.77,17.81,8.11,0.25,15.12,1108.02,56.18,4.74,0,21.95
Subway,"6"" Corned Beef Reuben",470,15,4.5,0,85,1770,45,7,12,39
Dairy Queen,Crispy Fish Sandwich,470,22,3,0,20,1210,53,2,7,17
Burger King,Grilled Chicken Sandwich,470,19,3.5,0,85,850,39,2,6,37
Subway,"6"" Tuna",470,24,4,0,30,620,44,5,6,20
Arbys,Turkey Gyro,470,20,3.5,0,45,1520,48,3,5,25
Taco Bell,Loaded Potato Griller,470,22,6,0,25,1120,55,4,5,13
Chick Fil-A,4 piece Chick-n-Strips,470,23,3,0,90,1250,29,1,4,37
Sonic,5 Piece Crispy Chicken Tender Dinner,470,24,4.5,0,0,1340,26,0,0,37
Burger King,Chicken Nuggets (10pc),470,29,5,0,50,890,34,5,0,21
Pizza Hut,Chicken Pepperoni (Medium),466.92,20.52,8.03,0.22,28.92,972.96,53.45,4.71,0,17.11
Pizza Hut,Double Chicken Sausage (Medium),466.64,21.27,8.67,0.28,26.88,688.88,50.23,4.57,3.73,18.58
Pizza Hut,Triple Chicken Feast (Personal),462.99,20.17,8.36,0.21,29.8,1202.8,48.22,4.65,0,21.7
Dominos,CRISPY CHICKEN STRIPS ,461.2,13.9,4.3,0.17,713.07,,51.3,5.16,3.6,26.7
Subway,Footlong Veggie Delite,460,6,2,0,0,620,88,10,12,16
Subway,"6"" Chicken Pizziola Melt",460,16,6,0,80,1140,49,6,9,32
Taco Bell,1/2 lb.* Combo Burrito,460,18,7,1,45,1320,53,9,3,21
Taco Bell,Beef Quesalupa,460,26,11,1,50,890,38,4,3,19
Pizza Hut,Margherita (Medium),459.03,13.43,4.9,0.15,33.58,905.82,64.32,5.18,0,20.22
Pizza Hut,Veg Exotica (Medium),455.67,12.26,4.92,0.15,30.07,510.27,69.19,5.37,0,17.14
Pizza Hut,Farmer`s Pick (Medium),454.66,14.62,4.87,0.17,10.1,960.84,58.91,2.77,0,21.72
Pizza Hut,Chicken Sausage (Medium),451.49,19.7,8.07,0.25,17.05,820.02,50.1,4.91,0,18.44
Pizza Hut,Veggie Feast (Medium),450.64,12.34,4.68,0.14,14.77,998.15,65.22,4.91,0,19.69
KFC,Classic Non Veg Crisper,450.6,18.6,5.5,0.02,19,0.5,52.2,8,0,18.7
Starbucks,Pumpkin Scone,450,21,14,0.5,60,390,64,2,41,4
Sonic,Veggie Burger W/ Ketchup,450,14,4,0,10,1410,67,5,11,15
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,450,13,6,0,75,1000,48,4,10,34
Arbys,Beef 'n Cheddar Classic,450,20,6,1,50,1280,45,2,9,23
Sonic,Veggie Burger With Mustard,450,14,4,0,10,1350,64,5,8,15
Sonic,Veggie Burger W/ Mustard,450,14,4,0,10,1300,64,5,8,15
Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,24,7,0,85,1070,30,5,6,29
Burger King,Double Cheeseburger,450,26,12,1,95,960,29,1,6,26
Starbucks,"Roasted Ham, Swiss & Egg on Croissant Bun",450,23,12,0.5,220,780,42,1,6,19
Chick Fil-A,Spicy Chicken Sandwich,450,19,4,0,60,1620,41,1,5,29
Sonic,Jr. Deluxe Cheeseburger,450,28,9,1,60,800,33,1,4,19
Sonic,Chicken Strip Sandwich,450,24,4,0,35,740,43,1,4,19
Pizza Hut,Italian Chicken Feast (Personal),449.4,17.22,6.38,0.17,58.63,1075.04,53.52,5.34,3.68,20.08
Pizza Hut,Chicken Pepper Crunch (Personal),447.43,17.76,7.45,0.23,54.62,780.15,50.59,5.86,0,21.32
Pizza Hut,Spiced Paneer (Medium),446.9,16.29,7.73,0.26,20.31,713.4,51.35,7.26,0,23.73
Pizza Hut,Double Chicken Sausage (Personal),445.29,19.39,7.2,0.21,89.77,637.69,49.32,5.05,4.34,18.37
Pizza Hut,Chicken Supreme (Personal),445.19,17.78,6.66,0.19,39.61,1264.58,47.37,5.18,0,23.87
Pizza Hut,Chicken n Corn Delight (Medium),444.9,13.66,5.34,0.15,52.42,1027.51,58.79,2.68,0,21.7
Pizza Hut,Double Cheese (Medium),443.92,14.06,6.67,0.23,20.75,728.73,60.58,3.58,0,18.77
Pizza Hut,Classic Paneer Capsicum & Onion,443.87,18.09,4.87,0.09,5.13,1143.26,57.4,10.9,0,12.87
Pizza Hut,Chicken Sausage (Personal),443.02,19.48,8.03,0.26,38.62,678.93,48.93,4.68,0,17.98
Pizza Hut,Tear and Share (Chicken),442.46,19.22,5.88,0.14,43.85,838.16,48.92,3.63,0,18.47
Pizza Hut,Tandoori Onion (Medium),440.04,14.98,5.53,0.19,11.39,897.76,59.76,1.85,0,16.55
Burger King,BBQ Bacon Crispy Chicken Sandwich,440,27,4.5,0,15,630,44,,13,7
Chick Fil-A,Chicken Sandwich,440,19,4,0,60,1350,40,2,5,28
Taco Bell,Beefy Fritos® Burrito,440,18,5,0,20,1030,55,4,3,13
Taco Bell,Steak Quesalupa,440,23,10,0.5,60,840,36,3,3,22
Taco Bell,Chicken Quesalupa,440,23,10,0.5,60,840,37,3,3,22
Taco Bell,Mild Naked Chicken Chalupa,440,30,7,0,70,1090,22,3,1,20
Sonic,4 Piece Super Crunch Chicken Strips,440,21,4,0,70,900,34,2,1,29
Mcdonalds,10 Piece Chicken McNuggets,440,27,4.5,0,75,840,26,2,0,24
Pizza Hut,Chicken Pepperoni (Personal),439.17,19.79,7.79,0.22,112.45,948.58,50.41,4.74,3.62,14.85
Pizza Hut,Cheesy Comfort (Chicken),439.02,26.58,10.74,0.38,78.27,1050.16,29.6,4.01,0,20.35
Pizza Hut,Chicken Tikka Supreme (Personal),434.67,16.32,6.16,0.17,25.41,1328.54,49.46,4.31,0,22.49
Pizza Hut,Choco Chip Cookie Sundae (Regular),433.72,15.12,10.36,0.02,6.56,264.09,68.66,3.59,44.01,6.39
KFC,Spicy Zinger,433.2,15.6,8.2,0.04,28,1.1,46.2,11,7.21,26.6
Pizza Hut,Corn n Cheese (Personal),432.6,10.93,5.14,0.16,16.19,499.72,65.64,3.85,0,17.91
Pizza Hut,Spiced Chicken Meatball (Medium),432.56,16.33,6.38,0.18,26.29,852.95,49.47,6.45,0,21.93
Pizza Hut,Veggie Tandoori (Personal),432.21,15.98,5.36,0.15,31.91,835.35,58.12,2,0,13.98
Starbucks,Lemon Loaf,430,20,6,0.3,90,310,57,1,30,6
Sonic,"All Beef Chicago Dog – 6""",430,20,7,0,40,2310,49,1,17,14
Arbys,Super Roast Beef,430,17,5,1,45,1060,45,3,11,23
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,430,12,4.5,0,85,1310,47,5,9,33
Subway,"6"" BBQ Rib Sandwich",430,18,6,0,50,590,47,5,8,19
Chick Fil-A,Chargrilled Chicken Club Sandwich,430,16,8,0,85,1120,37,3,7,37
Mcdonalds,Double Cheeseburger,430,21,11,1,85,1040,35,2,7,25
Sonic,Grilled Chicken Sandwich,430,20,4,0,80,940,33,2,6,28
Arbys,Crispy Chicken Farmhouse Salad,430,24,8,0,65,1000,26,4,4,28
Taco Bell,BLT Crunchwrap Slider,430,23,5,0,20,900,43,3,4,12
Burger King,Crispy Chicken Jr.,430,28,4.5,0,30,760,34,2,4,12
Taco Bell,Nachos Supreme,430,23,5,0,30,690,44,7,3,12
Pizza Hut,Veggie Supreme (Personal),426.59,14.42,5.52,0.16,32.43,591.1,55.39,4.43,0,17.75
Pizza Hut,Malai Chicken Tikka (Personal),425.45,13.67,6.06,0.2,24.64,1284.31,53.99,3.9,0,21.62
Pizza Hut,Tear and Share (Veg),424.82,20.6,6.36,0.16,22.69,841.66,45.21,3.05,0,14.65
Pizza Hut,Triple Chicken Feast (Personal),424.46,22.76,9.25,0.27,42.86,1421.66,50.12,4.88,0,24.15
Pizza Hut,Double Cheese (Personal),423.33,12.27,5.23,0.18,19.75,638.22,59.97,3.49,0,18.26
Pizza Hut,Chicken n Corn Delight (Personal),421.56,12.11,5.11,0.15,50.96,916.52,57.38,5.84,0,20.75
Starbucks,Cranberry Orange Scone,420,15,9,0.5,55,430,64,1,26,6
Subway,"6"" Subway Seafood Sensation",420,19,3,0,20,690,51,5,8,13
Taco Bell,Burrito Supreme® – Beef,420,16,7,0,35,1090,53,8,5,16
Taco Bell,Cheesy Bean and Rice Burrito,420,17,3.5,0,0,930,55,6,4,11
Arbys,Greek Gyro Salad,420,37,9,0,55,700,11,2,4,10
Dairy Queen,Bacon Cheese Dog,420,26,11,1,60,1140,26,1,3,19
Taco Bell,Beefy Nacho Griller,420,19,4.5,0,20,870,49,5,3,12
Taco Bell,Wild Naked Chicken Chalupa,420,28,6,0,65,1070,23,4,2,19
Pizza Hut,Double Paneer Supreme (Personal),414.59,17.76,9.31,0.3,18.31,958.27,45.34,3.3,0,18.35
Pizza Hut,Veggie Lover (Personal),411.72,12.94,5.32,0.17,19.29,564.98,56.6,3.66,0,17.2
Pizza Hut,Tandoori Onion (Personal),410.16,13.48,4.52,0.13,23.87,826.22,57.14,1.33,0,15.08
Starbucks,Pumpkin Bread,410,15,2.5,0.2,55,500,63,2,39,6
Burger King,Rodeo Crispy Chicken Sandwich,410,17,3,0,20,870,53,2,14,12
Subway,"6"" Italian B.M.T.",410,16,6,0,45,1300,46,5,8,20
Burger King,BK VEGGIE Burger,410,16,3,0,5,1030,44,7,8,22
Burger King,Spicy Crispy Chicken Jr.,410,25,4.5,0,35,850,35,2,5,12
Sonic,"All Beef Chili Cheese Coney – 6""",410,26,11,0,65,1140,30,2,4,17
Sonic,Jr. Chili Cheeseburger,410,24,9,0.5,55,730,32,1,4,20
Taco Bell,Black Bean Burrito,410,12,4,0,10,1100,62,8,3,14
Taco Bell,Triple Melt Burrito,410,16,6,0,30,1030,50,4,3,15
Taco Bell,Beefy Cheddar Crunchwrap Slider,410,19,6,0,25,960,46,4,3,14
Pizza Hut,Farmer`s Pick (Personal),408.16,12.53,4.9,0.14,48.09,942.67,53.93,2.46,0,19.91
Pizza Hut,Veggie Feast (Personal),408.06,10.53,4.12,0.13,21.96,869.41,60.57,4.24,0,17.75
Pizza Hut,Spiced Paneer (Personal),408.01,14.57,8.02,0.35,37.37,622.38,47.54,6.92,0,21.68
Pizza Hut,Italian Chicken Feast (Personal),407.76,16.02,6.26,0.15,53.53,881.28,47.06,5.2,0,18.83
Pizza Hut,Chicken Tikka (Personal),407.65,15.48,6.92,0.23,0.23,682.38,48.93,6.78,0,18.15
Pizza Hut,Country Feast (Personal),407.6,8.03,3.24,0.11,66.8,818,67.11,7.19,0,16.73
Pizza Hut,Corn n Cheese (Medium),406.53,12.78,5.05,0.17,9.47,674.52,54.39,3.48,0,18.48
Pizza Hut,Chicken Tikka Supreme (Personal),405.84,15.09,6.1,0.2,22.79,1193.62,47.19,3.52,0,20.24
KFC,Large Fries,403.3,18.8,8.7,0.03,24,0.2,49.6,10,0,9.1
Pizza Hut,Veg Exotica (Medium),401.67,11.22,3.81,0.13,14.48,632.1,58.71,4.32,0,16.47
Pizza Hut,Schezwan Meatball & Capsicum,401.27,17.29,3.24,0.03,5.5,913.93,50.98,9.75,0,10.44
Arbys,Arby-Q Sandwich,400,10,3,0,30,1230,58,3,23,18
Dairy Queen,Deluxe Cheeseburger,400,18,9,1,65,930,35,1,9,20
Dairy Queen,Original Cheeseburger,400,18,9,1,65,930,34,1,8,19
Subway,Big Hot Pastrami Melt Salad,400,29,11,0,85,1250,12,4,4,23
Taco Bell,Shredded Chicken Burrito,400,18,4.5,0,30,960,45,3,3,16
Taco Bell,Spicy Chicken Crunchwrap Slider,400,20,4,0,25,900,42,3,3,15
Dominos,CHICKEN DOMITOR LARGE,399,14.9,7.9,0.32,715.2,,48,9.48,6.8,18.3
Pizza Hut,Spiced Chicken Meatball (Personal),394.79,14.11,6.88,0.23,49.83,752.04,46.12,6.64,0,20.84
Pizza Hut,Chicken Tikka (Personal),394.73,14.53,6.18,0.18,37.48,656.21,48.43,6.83,0,17.56
KFC,Spicy Non Veg Crisper,393.7,9.3,4,0.02,12,0.5,56.8,5,3.72,20.7
Pizza Hut,Chicken n Corn Delight (Medium),392.84,13.11,5.33,0.17,20.61,902.56,49.03,3.85,0,19.99
Pizza Hut,Veggie Lover (Personal),390.8,12.6,4.98,0.19,12.74,574.06,53.27,3.19,0,16.07
Subway,"6"" Veggie Patty",390,7,1,0,10,800,56,8,8,23
Subway,"6"" Turkey & Bacon Avocado",390,13,3.5,0,30,860,49,8,7,22
Taco Bell,Burrito Supreme® - Steak,390,13,5,0,30,1090,52,7,5,17
Taco Bell,Burrito Supreme® - Chicken,390,12,5,0,40,1050,52,7,5,19
Taco Bell,Stacker,390,18,8,0.5,40,1050,39,4,3,18
Dairy Queen,Cheese Dog,390,24,11,1,50,1000,26,1,3,16
Chick Fil-A,12 piece Chicken Nuggets,390,18,1.5,0,115,1460,14,2,1,41
Pizza Hut,Chicken Pepper Crunch (Personal),388.89,15.69,6.53,0.21,17.25,763.64,43.38,4.82,0,18.54
Pizza Hut,Veggie Tandoori (Personal),388.81,14.59,6.22,0.23,16.74,732.5,51.14,2.22,0,13.23
Pizza Hut,Double Chicken Sausage (Personal),386.9,17.63,7.19,0.24,22.28,571.16,41.64,3.79,3.09,15.41
Pizza Hut,Malai Chicken Tikka (Personal),385.98,13.14,5.75,0.21,16.2,1096.14,48.24,3.2,0,18.69
Pizza Hut,Chicken Pepperoni (Personal),385.35,16.93,6.63,0.18,23.87,802.98,44.11,3.89,0,14.12
Pizza Hut,Veggie Supreme (Personal),382.29,13.33,5.79,0.21,15.84,549.82,48.88,3.73,0,16.7
Starbucks,Chocolate Chunk Cookie,380,19,12,0.3,55,250,54,2,34,5
Starbucks,Blueberry Yogurt and Honey Muffin,380,16,4,0,60,260,53,1,30,6
Starbucks,Baa Loaf,380,17,3,0.2,70,270,52,2,29,5
Starbucks,Double Chocolate Chunk Brownie,380,23,7,0.3,70,170,41,2,28,4
Subway,"6"" Sweet Onion Chicken Teriyaki",380,5,1,0,50,900,59,5,18,26
Mcdonalds,Artisan Grilled Chicken Sandwich,380,7,2,0,95,1110,44,3,11,37
Subway,"6"" Steak and Cheese",380,10,5,0,50,1060,48,5,8,26
Mcdonalds,McDouble,380,18,8,1,70,840,34,2,7,23
Dairy Queen,Grilled Chicken BLT Salad,380,19,9,0,100,1540,11,3,6,42
Burger King,WHOPPER JR. w/ Cheese,380,23,8,1,55,730,29,2,6,16
Mcdonalds,Filet-O-Fish®,380,18,4,0,40,640,38,2,5,15
Sonic,Jr. Deluxe Burger,380,23,6,1,40,470,32,1,4,15
Dairy Queen,Chili Cheese Dog,380,24,11,1,55,900,23,1,3,16
Taco Bell,Chili Cheese Burrito,380,17,8,1,35,930,41,5,2,16
Taco Bell,Chili Cheese Burrito,380,17,8,1,35,930,41,5,2,16
Taco Bell,Nacho Crunch Double Stacked Taco,380,19,6,0,35,650,39,5,2,13
Sonic,Small Jumbo Popcorn Chicken,380,22,4,0,45,1250,27,3,1,18
Pizza Hut,Country Feast (Personal),376.45,8.6,3.32,0.1,3.99,715.45,58.33,5.65,0,16.44
Pizza Hut,Chicken Sausage (Personal),374.33,16.34,6.69,0.21,14.13,679.89,41.54,4.07,0,15.29
KFC,Popcorn Med,374,21.4,9.4,0.03,28,0.8,24.7,11,0,20.6
Pizza Hut,Double Cheese (Personal),370.43,11.73,5.57,0.19,17.31,608.08,50.55,2.99,0,15.66
Starbucks,Reduced Fat Cinnamon Swirl Coffee Cake,370,9,4.5,0.3,20,280,67,2,41,5
Starbucks,Fruit & Oat Cookie,370,15,8,0.3,60,190,52,3,28,6
Sonic,"All Beef All-american Style Dog – 6""",370,18,7,0,40,1180,40,1,15,12
Subway,"6"" Subway Melt (includes cheese)",370,11,5,0,45,1210,47,5,8,23
Subway,"6"" Cold Cut Combo",370,13,4,0,50,1140,46,5,7,18
Taco Bell,Chalupa Supreme®–Beef,370,21,5,0,30,570,31,4,4,13
Taco Bell,Bean Burrito,370,11,4,0,5,960,56,9,3,13
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,21,3.5,0,70,910,16,0,0,28
Pizza Hut,Margherita (Medium),369.29,11.35,4.93,0.15,15.41,750.55,51,3.94,0,15.79
KFC,Spicy Veg Crisper,367.5,18.9,7,0.03,22,0.5,59,9,8.1,9.2
Pizza Hut,Tandoori Onion (Personal),365.21,12.43,4.59,0.16,9.46,745.08,49.59,1.54,0,13.74
Pizza Hut,Veg Exotica (Personal),363.05,9.77,3.92,0.12,23.96,640.46,55.12,4.28,0,13.66
Pizza Hut,Veggie Feast (Personal),362.03,9.91,3.76,0.11,11.87,801.89,52.4,3.95,0,15.82
Pizza Hut,Farmer`s Pick (Personal),361.77,11.63,3.88,0.13,8.04,764.54,46.87,2.21,0,17.29
Pizza Hut,Margherita (Personal),361.73,10.58,3.86,0.12,26.47,713.82,50.69,4.08,0,15.93
Starbucks,Apple Poundcake,360,18,10,0.5,100,110,44,2,28,5
Starbucks,Oat Fudge Bar,360,20,11,0.1,20,230,45,3,26,5
Starbucks,Blueberry Scone,360,15,9,0.4,50,420,50,2,15,5
Starbucks,Oat Bar,360,19,11,1,40,220,43,5,12,6
Subway,Buffalo Chicken Salad (with Ranch dressing),360,26,4,0,60,1100,13,4,6,20
Burger King,Double Hamburger,360,18,8,0,70,520,28,1,6,22
Dairy Queen,Grilled Chicken Sandwich,360,15,3,0,50,1040,32,1,5,25
Arbys,Classic Roast Beef,360,14,5,0.5,50,970,37,2,5,23
Starbucks,Asiago & Cheddar Pretzel,360,12,7,0,35,1070,46,2,1,16
Arbys,3 piece Prime-Cut Chicken Tenders,360,17,2.5,0,45,950,28,2,0,23
Pizza Hut,Spiced Paneer (Personal),359.58,13.1,6.22,0.21,16.34,574,41.31,5.84,0,19.1
KFC,Boneless Strips 3pc,358.6,18.6,8.2,0.03,24,0.5,20.7,10,0,27
Pizza Hut,Spiced Chicken Meatball (Personal),354.86,13.4,5.23,0.15,21.56,699.73,40.58,5.29,0,17.99
Dominos,CHICKEN WINGS ,352.9,12.6,4.8,0.19,308.7,,24.5,5.76,10.4,35.3
Starbucks,Pumpkin Cream Cheese Muffin,350,14,4,0.3,55,430,53,1,34,5
Starbucks,Morning Bun,350,15,10,0.5,40,380,54,2,21,7
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350,12,4.5,0,110,1070,27,6,9,37
Dairy Queen,Deluxe Hamburger,350,14,7,1,50,680,34,1,9,17
Subway,"6"" Rotisserie Style Chicken",350,6,1.5,0,50,540,44,5,7,29
Dairy Queen,Relish Dog,350,20,8,1,35,1000,30,1,6,13
Mcdonalds,McChicken,350,15,3.5,0,40,600,40,2,5,15
Chick Fil-A,Chargrilled Chicken Cool Wrap,350,14,5,0,60,960,29,15,3,37
Taco Bell,Fresco Bean Burrito,350,9,3,0,0,950,57,9,3,11
Chick Fil-A,3 Piece Chick-n-Strips,350,17,3,0,70,940,22,1,3,28
Taco Bell,DOUBLE DECKER® Taco Supreme®,350,16,6,0,35,670,40,7,3,14
Taco Bell,Cool Ranch Habanero Double Stacked Taco,350,20,8,0.5,40,630,30,4,3,13
Dairy Queen,Crispy Chicken Wrap,350,21,5,0,35,820,30,2,1,12
Dairy Queen,3 chicken strips Chicken Strips,350,20,3,0,60,960,22,10,0,22
Sonic,Small Spicy Jumbo Popcorn Chicken,350,17,3,0,45,860,30,2,0,21
Starbucks,"Bacon, Gouda & Egg on Artisan Roll",350,18,7,0.1,165,820,30,0,0,17
KFC,2 pc,349.7,12.8,3.6,0.04,18,0.5,16.1,7,0,42.6
KFC,Classic Veg Crisper,342.2,27.6,9.5,0.03,30,0.4,54.6,12,6.32,8.9
Dominos,GARLIC BREADSTICKS ,340.3,6.9,1.4,0.06,397.44,,57.6,1.68,8.5,11.9
Sonic,Jr. Burger,340,17,6,1,35,640,34,1,6,15
Taco Bell,Spicy Sweet Double Stacked Taco,340,18,7,0,35,640,32,4,6,12
Burger King,WHOPPER JR. w/o Cheese,340,19,5,0,40,510,28,2,6,14
Sonic,"All Beef New York Dog – 6""",340,19,7,0,40,1250,30,3,4,13
Taco Bell,Fresco Burrito Supreme® – Steak,340,9,3,0,15,1060,50,7,4,15
Taco Bell,Fresco Burrito Supreme® – Chicken,340,8,3,0,25,1020,50,7,4,17
Taco Bell,Chalupa Supreme® - Steak,340,18,4,0,30,570,29,3,4,14
Taco Bell,Chalupa Supreme® - Chicken,340,18,4,0,40,530,29,3,4,16
Burger King,Pretzel Chicken Fries,340,21,3.5,0,45,1200,21,1,1,16
Pizza Hut,Veg Exotica (Personal),335.82,9.38,3.18,0.11,12.1,528.48,49.08,3.61,0,13.77
Pizza Hut,Corn n Cheese (Personal),332.61,10.46,4.13,0.14,7.75,551.88,44.5,2.85,0,15.12
Pizza Hut,Cheesy Comfort (Veg),332.02,15.78,6.19,0.24,37.26,692.95,28.68,3.3,5.21,18.81
Starbucks,Pecan Tart,330,18,8,0.4,75,210,39,1,19,4
Starbucks,Pumpkin Sugar Cookie,330,19,12,0.4,30,125,37,0,18,4
Starbucks,Chocolate Croissant,330,17,11,0,50,280,35,3,13,6
